channel,message_id,date,text,sender_id,views,image_path,doc_path,processed_text
@jijietcom,309171,2025-06-21T12:03:47+00:00,"⚠️ ያስተውሉ❗️

ዘመኑ እየተቀየረ እንደሆነ ያስተውሉ❗️

ከሁለት አመት በፊት የቴሌግራምን ተቀባይነት አሁን ካለው ተቀባይነት ጋር ያነፃፅሩት ምን የተለየ ነገር አስተዋሉ?

ምንም ካላስተዋሉ እስቲ እናግዞ

ከሁለት አመት በፊት ፋይል ወይም ፎቶ ለወዳጆ ለመላክ ሲያስቡ #WhatApp ነበር ቀድሞ ወደ አእምሮዎ የሚመጣው አሁንስ?

ከላይ የተጠቀሰው እጅግ በጣም በጥቂቱ ያለውን ለውጥ ያሳያል ሌሎችም ብዙ እንዳሉ ሆነው 

ከሁለት አመት #በኋላ በዚህ አፕ ላይ ውድድሩ በጣም የከፋ እንደሚሆን አይጠረጠርም 

ይህን ውድድር ቀድመው ማሸነፍ መቻሎን እርግጠኛ ይሁኑ።

የሚሸጡት እቃ ወይም አገልግሎት ባይኖሮት እንኳን ወደፊት ለሚኖሮት ቢዝነስ ቀድመው ለማስተዋወቅ አሁን ቦታዎን ይያዙ

ይህን መልእክት ያዩበት ግሩፕ #ከ200ሺ አባላት በታች ከሆነ እድለኛ ኖት ምክንያቱም 200ሺ እስኪሞላ ወዳጆን ጋብዘው በነፃ ማስተዋወቅ ይችላሉ ።

#200ሺ ከሞላቦት ግን የቴሌግራም ፕላትፎርም ከዛ በላይ በአንድ ግሩፕ ስለማያስተናግድ (Google it for fact check) ከስራ ውጭ ሆኑ ማለት ነው።

አሁን የሚነግዱት ወይም የሚሸጡት ነገር ባይኖር እንኳን ወደፊት ለሚሰሩት ቢዝነስ ጋብዘው አንድ እቃ (የማይሸጡትም ቢሆን) ፓስት አርገው ፓስት ማድረግ መቻሎን አረጋግጠው ይቀመጡ::

አንድ ግዜ ከጋበዙ ወደፊት መጋበዝ አይጠበቅቦትም #200ሺ ሳይሞላቦ አሁኑኑ ይጋብዙ

የመጋበዣ ስቴፕ ከታች በቪድዮ ተቀምጣል

ቪዲዮ --> https://youtu.be/Hwy3fc8wLCI",5996930820,0,,,⚠️ ያስተውሉ❗️ ዘመኑ እየተቀየረ እንደሆነ ያስተውሉ❗️ ከሁለት አመት በፊት የቴሌግራምን ተቀባይነት አሁን ካለው ተቀባይነት ጋር ያነፃፅሩት ምን የተለየ ነገር አስተዋሉ? ምንም ካላስተዋሉ እስቲ እናግዞ ከሁለት አመት በፊት ፋይል ወይም ፎቶ ለወዳጆ ለመላክ ሲያስቡ #WhatApp ነበር ቀድሞ ወደ አእምሮዎ የሚመጣው አሁንስ? ከላይ የተጠቀሰው እጅግ በጣም በጥቂቱ ያለውን ለውጥ ያሳያል ሌሎችም ብዙ እንዳሉ ሆነው ከሁለት አመት #በኋላ በዚህ አፕ ላይ ውድድሩ በጣም የከፋ እንደሚሆን አይጠረጠርም ይህን ውድድር ቀድመው ማሸነፍ መቻሎን እርግጠኛ ይሁኑ የሚሸጡት እቃ ወይም አገልግሎት ባይኖሮት እንኳን ወደፊት ለሚኖሮት ቢዝነስ ቀድመው ለማስተዋወቅ አሁን ቦታዎን ይያዙ ይህን መልእክት ያዩበት ግሩፕ #ከ200ሺ አባላት በታች ከሆነ እድለኛ ኖት ምክንያቱም 200ሺ እስኪሞላ ወዳጆን ጋብዘው በነፃ ማስተዋወቅ ይችላሉ #200ሺ ከሞላቦት ግን የቴሌግራም ፕላትፎርም ከዛ በላይ በአንድ ግሩፕ ስለማያስተናግድ (Google it for fact check) ከስራ ውጭ ሆኑ ማለት ነው አሁን የሚነግዱት ወይም የሚሸጡት ነገር ባይኖር እንኳን ወደፊት ለሚሰሩት ቢዝነስ ጋብዘው አንድ እቃ (የማይሸጡትም ቢሆን) ፓስት አርገው ፓስት ማድረግ መቻሎን አረጋግጠው ይቀመጡ:: አንድ ግዜ ከጋበዙ ወደፊት መጋበዝ አይጠበቅቦትም #200ሺ ሳይሞላቦ አሁኑኑ ይጋብዙ የመጋበዣ ስቴፕ ከታች በቪድዮ ተቀምጣል ቪዲዮ --> https://youtu.be/Hwy3fc8wLCI
@jijietcom,309170,2025-06-21T11:50:57+00:00,,2010703601,0,data/raw/media\@jijietcom_309170.jpg,,
@jijietcom,309169,2025-06-21T11:50:57+00:00,"💁‍♂Samsung galaxy A12

🫷64 GB storage
🫷4 GB ram
🫷5000 mah 🔋 battery
🫷Excellent condition🔥
🫷Best camera with high duality🌇
🫷Price 11500 birr አሪፍ ይዞታ ላይ 
☎️0968567585 or inbox",2010703601,0,data/raw/media\@jijietcom_309169.jpg,,💁‍♂Samsung galaxy A12 🫷64 GB storage 🫷4 GB ram 🫷5000 mah 🔋 battery 🫷Excellent condition🔥 🫷Best camera with high duality🌇 🫷Price 11500 ETB አሪፍ ይዞታ ላይ ☎️0968567585 or inbox
@jijietcom,309168,2025-06-21T11:50:05+00:00,,5880052446,0,data/raw/media\@jijietcom_309168.jpg,,
@jijietcom,309167,2025-06-21T11:50:05+00:00,"Samsung Galaxy A20
32/3
🔥
✨EXCELLENT CONDITION 👌 
🛑dual sim(ሁለት ሲም)
🧷ዋጋ 6800😱 ]
የቀደመ ይውሰድ 0968567585",5880052446,0,data/raw/media\@jijietcom_309167.jpg,,Samsung Galaxy A20 32/3 🔥 ✨EXCELLENT CONDITION 👌 🛑dual sim(ሁለት ሲም) 🧷ዋጋ 6800😱 ] የቀደመ ይውሰድ 0968567585
@jijietcom,309166,2025-06-21T11:44:50+00:00,"👋 Hello, Community!
I’m looking to rent LinkedIn accounts that meet the following criteria:

✅ Requirements
Connections: 500+ connections or friends
Status: Authentic and in good standing

🎁 What I Offer
Here’s a well-structured explanation of my pricing model:


Pricing Model for Connections and Booking Fees


1. 300-500 Connections:

weekly Fee:1000 Etb


3. 500-1000 Connections:


weekly Fee:1500 Etb



4. 1000-2000 Connections:

weekly Fee: 2500etb


Note:

The monthly fee varies based on the number of your account connection , age and activity .

.

💵 Competitive Payment: Earn based on your account’s connections and quality.
🔒 Safe Usage: Your account will be used only for professional networking and US market promotion, ensuring confidentiality and adherence to LinkedIn’s guidelines.
🤝 Flexible Terms: I’m open to customizing terms to suit your preferences.

📩 How to Apply
If you’re interested, send me the following details via DM:
1️⃣ Number of connections
2️⃣ Date the account was opened
3️⃣ Your expected price

✨ This is a great opportunity for those with unused LinkedIn accounts!
Let’s collaborate and create value together.

📲 Dm me:@Benyas721
Contact me:0923708463",926517761,0,,,"👋 Hello, Community I’m looking to rent LinkedIn accounts that meet the following criteria: ✅ Requirements Connections: 500+ connections or friends Status: Authentic and in good standing 🎁 What I Offer Here’s a well-structured explanation of my pricing model: Pricing Model for Connections and Booking Fees 1. 300-500 Connections: weekly Fee:1000 Etb 3. 500-1000 Connections: weekly Fee:1500 Etb 4. 1000-2000 Connections: weekly Fee: 2500etb Note: The monthly fee varies based on the number of your account connection , age and activity . . 💵 Competitive Payment: Earn based on your account’s connections and quality. 🔒 Safe Usage: Your account will be used only for professional networking and US market promotion, ensuring confidentiality and adherence to LinkedIn’s guidelines. 🤝 Flexible Terms: I’m open to customizing terms to suit your preferences. 📩 How to Apply If you’re interested, send me the following details via DM: 1️⃣ Number of connections 2️⃣ Date the account was opened 3️⃣ Your expected price ✨ This is a great opportunity for those with unused LinkedIn accounts Let’s collaborate and create value together. 📲 Dm me:@Benyas721 Contact me:0923708463"
@jijietcom,309165,2025-06-21T11:44:50+00:00,"Linkedin 
የኪራይ ዋጋ (በሳምንት የሚከፈል)
ግንኙነቶች  ዋጋ (በሳምንት)
100 - 299 ሰዎች    20(3000) ዶላር
300 - 499 ሰዎች    30(4500birr)ዶላር
500 ወይም ከዚያ በላይ    40 (6000 birr)ዶላር
🔓 የማገድ አገልግሎት
መለያዎ የተገደበ ከሆነ፣ የአንድ ጊዜ እገዳን የማንሳት አገልግሎት እንሰጣለን፡ በምሳሌ $2-3USD
Dm aregulgn

እገዳን ማንሳት የምዝገባ ኢሜል/የማረጋገጫ ኮድ እና ሌላ የማረጋገጫ መረጃ ማቅረብን ይጠይቃል።

ይህ አገልግሎት ከፍተኛ ተገዢነት እና መደበኛ ሁኔታ ላላቸው የቆዩ መለያዎች ብቻ ነው የሚሰራው።

📌 የመለያ መስፈርቶች
ቢያንስ ለ 1 ዓመት የተመዘገበ እውነተኛ መለያ መሆን አለበት;
በመደበኛነት መግባት፣ ኢሜል ማሰር እና ንቁ እውቂያዎች ሊኖረው ይገባል፤
የመግቢያ ቦታ ከዩኤስኤ ወይም ከአለም አቀፍ መድረስን መደገፍ አለበት (ክልላዊ መቆለፍ የለም)።
በኪራይ ጊዜ ውስጥ የይለፍ ቃሎች፣ ኢሜል ወይም የማስያዣ መረጃ ለውጦች አይፈቀዱም።

የመክፈያ ዘዴ: Cryptocurrency",926517761,0,,,Linkedin የኪራይ ዋጋ (በሳምንት የሚከፈል) ግንኙነቶች ዋጋ (በሳምንት) 100 - 299 ሰዎች 20(3000) ዶላር 300 - 499 ሰዎች 30(4500 ETB)ዶላር 500 ወይም ከዚያ በላይ 40 (6000 ETB)ዶላር 🔓 የማገድ አገልግሎት መለያዎ የተገደበ ከሆነ የአንድ ጊዜ እገዳን የማንሳት አገልግሎት እንሰጣለን፡ በምሳሌ $2-3USD Dm aregulgn እገዳን ማንሳት የምዝገባ ኢሜል/የማረጋገጫ ኮድ እና ሌላ የማረጋገጫ መረጃ ማቅረብን ይጠይቃል ይህ አገልግሎት ከፍተኛ ተገዢነት እና መደበኛ ሁኔታ ላላቸው የቆዩ መለያዎች ብቻ ነው የሚሰራው 📌 የመለያ መስፈርቶች ቢያንስ ለ 1 ዓመት የተመዘገበ እውነተኛ መለያ መሆን አለበት; በመደበኛነት መግባት ኢሜል ማሰር እና ንቁ እውቂያዎች ሊኖረው ይገባል የመግቢያ ቦታ ከዩኤስኤ ወይም ከአለም አቀፍ መድረስን መደገፍ አለበት (ክልላዊ መቆለፍ የለም) በኪራይ ጊዜ ውስጥ የይለፍ ቃሎች ኢሜል ወይም የማስያዣ መረጃ ለውጦች አይፈቀዱም የመክፈያ ዘዴ: Cryptocurrency
@jijietcom,309164,2025-06-21T11:44:50+00:00,,926517761,0,data/raw/media\@jijietcom_309164.jpg,,
@jijietcom,309159,2025-06-21T11:26:49+00:00,"🌟Turmeric Whitening Oil

👉The curcumin in it reduces the excess melanin production and lightens your skin tone
👉Anti aging 
👉Nourishing 
👉Moisturizing 


👥Contact @Cosmobeki

📞 call 0947-737475
              0947-767778

💰💰l = Price =2,800

Address - Megenagna, on the Road from zefmesh to Sholla, Infront of Mesob Habesha Hotel.

መገናኛ, ከዘፍመሽ ወደ ሾላ ገበያ በሚወስደዉ መንገድ ላይ ከመሶብ ሀበሻ ሆቴል ፊት ለፊት።",7437782350,828,data/raw/media\@jijietcom_309159.jpg,,"🌟Turmeric Whitening Oil 👉The curcumin in it reduces the excess melanin production and lightens your skin tone 👉Anti aging 👉Nourishing 👉Moisturizing 👥Contact @Cosmobeki 📞 call 0947-737475 0947-767778 💰💰l = Price =2,800 Address - Megenagna, on the Road from zefmesh to Sholla, Infront of Mesob Habesha Hotel. መገናኛ, ከዘፍመሽ ወደ ሾላ ገበያ በሚወስደዉ መንገድ ላይ ከመሶብ ሀበሻ ሆቴል ፊት ለፊት"
@jijietcom,309158,2025-06-21T11:26:38+00:00,"🌟Olay 7 in one 

👉Hydrates
👉Replenishes
👉Brightens 
👉Evens the look of tones
👉Minimizes the look of pores 
👉Visibily firms and Visibily smooths


👥Contact @Cosmobeki

📞 call 0947-737475
              0947-767778

💰💰l = Price =4,500

Address - Megenagna, on the Road from zefmesh to Sholla, Infront of Mesob Habesha Hotel.

መገናኛ, ከዘፍመሽ ወደ ሾላ ገበያ በሚወስደዉ መንገድ ላይ ከመሶብ ሀበሻ ሆቴል ፊት ለፊት።",7437782350,806,data/raw/media\@jijietcom_309158.jpg,,"🌟Olay 7 in one 👉Hydrates 👉Replenishes 👉Brightens 👉Evens the look of tones 👉Minimizes the look of pores 👉Visibily firms and Visibily smooths 👥Contact @Cosmobeki 📞 call 0947-737475 0947-767778 💰💰l = Price =4,500 Address - Megenagna, on the Road from zefmesh to Sholla, Infront of Mesob Habesha Hotel. መገናኛ, ከዘፍመሽ ወደ ሾላ ገበያ በሚወስደዉ መንገድ ላይ ከመሶብ ሀበሻ ሆቴል ፊት ለፊት"
